ID_ESTADIO,ID_SEDE,NOMBRE,CAPACIDAD,CALLE
1,7,"Luzhniki Stadium,",icowdrey0@wp.com,Bunker Hill
2,6,"Ekaterinburg Arena,",skensitt1@myspace.com,Emmet
3,8,"Saint Petersburg Stadium,",lhugland2@state.gov,Packers
4,2,"Fisht Stadium,",aaggs3@bbb.org,Armistice
5,9,"Kazan Arena,",tmatyushenko4@woothemes.com,Manufacturers
6,2,"Spartak Stadium,",hwhichelow5@taobao.com,Continental
7,4,"Mordovia Arena,",pgrayshon6@technorati.com,Erie
8,1,"Kaliningrad Stadium,",ddarrington7@cam.ac.uk,Melby
9,1,"Samara Arena,",mjustice8@joomla.org,Hanover
10,1,"Luzhniki Stadium,",ffader9@barnesandnoble.com,Eggendart
11,6,"Rostov Arena,",ffugea@state.tx.us,Raven
12,9,"Nizhny Novgorod Stadium,",debbrellb@opensource.org,Manitowish
13,7,"Fisht Stadium,",boakenfullc@toplist.cz,Dryden
14,6,"Volgograd Arena,",ljansend@cdc.gov,Ohio
15,4,"Mordovia Arena,",jnassaue@alibaba.com,Elmside
16,9,"Spartak Stadium,",ltieryf@bizjournals.com,Monterey
17,7,"Saint Petersburg Stadium,",dbrinsdeng@netvibes.com,Jenna
18,8,"Luzhniki Stadium,",sbrownriggh@si.edu,International
19,1,"Rostov Arena,",tfroschaueri@google.com.au,Esch
20,2,"Kazan Arena,",lolivoj@toplist.cz,Summerview
21,7,"Samara Arena,",fpattisonk@hp.com,Ryan
22,6,"Ekaterinburg Arena,",elumbl@weather.com,Jenna
23,1,"Nizhny Novgorod Stadium,",jsommerlingm@dropbox.com,Manley
24,5,"Saint Petersburg Stadium,",eskillingsn@moonfruit.com,Mendota
25,9,"Volgograd Arena,",codyvoyo@privacy.gov.au,Oxford
26,10,"Kaliningrad Stadium,",mdebowp@google.fr,2nd
27,8,"Spartak Stadium,",erickarseyq@tinyurl.com,Fairview
28,1,"Rostov Arena,",sbeefonr@princeton.edu,Prentice
29,6,"Fisht Stadium,",aeliets@mlb.com,Thackeray
30,3,"Nizhny Novgorod Stadium,",ianglint@discuz.net,8th
31,1,"Ekaterinburg Arena,",efullerloveu@addtoany.com,Hauk
32,1,"Kazan Arena,",hallebonev@devhub.com,Dayton
33,3,"Samara Arena,",mfissendenw@army.mil,Onsgard
34,6,"Volgograd Arena,",nboyerx@icq.com,Florence
35,7,"Kaliningrad Stadium,",hcastellay@oakley.com,Moulton
36,4,"Mordovia Arena,",nseggiez@homestead.com,Meadow Ridge
37,7,"Fisht Stadium,",cnazaret10@aol.com,Upham
38,6,"Luzhniki Stadium,",rsibthorp11@homestead.com,8th
39,9,"Saint Petersburg Stadium,",tbenstead12@disqus.com,Maple
40,7,"Rostov Arena,",jcusworth13@cloudflare.com,Lunder
41,2,"Kazan Arena,",rmegany14@pagesperso-orange.fr,Talmadge
42,10,"Ekaterinburg Arena,",hcreese15@redcross.org,Sage
43,1,"Spartak Stadium,",lplank16@exblog.jp,Eliot
44,9,"Nizhny Novgorod Stadium,",etorrecilla17@amazonaws.com,Harper
45,4,"Volgograd Arena,",rcotterill18@dell.com,Green Ridge
46,10,"Samara Arena,",wdorton19@jiathis.com,Dexter
47,7,"Mordovia Arena,",abaylay1a@newyorker.com,Petterle
48,2,"Kaliningrad Stadium,",fciccarelli1b@typepad.com,Warbler
49,4,"Kazan Arena,",bcocks1c@businesswire.com,Donald
50,7,"Fisht Stadium,",rcrallan1d@npr.org,Jay
51,7,"Luzhniki Stadium,",molczyk1e@moonfruit.com,Burning Wood
52,7,"Nizhny Novgorod Stadium,",krampley1f@csmonitor.com,Glacier Hill
53,10,"Samara Arena,",btresler1g@bloomberg.com,Oak Valley
54,6,"Rostov Arena,",ccadd1h@squarespace.com,Stoughton
55,5,"Saint Petersburg Stadium,",geeles1i@google.it,Shoshone
56,5,"Spartak Stadium,",craymont1j@bluehost.com,Armistice
57,7,"Nizhny Novgorod Stadium,",droyson1k@fda.gov,Dawn
58,8,"Kazan Arena,",broadnight1l@topsy.com,Walton
59,3,"Samara Arena,",krossant1m@yolasite.com,Trailsway
60,6,"Fisht Stadium,",eclearley1n@ocn.ne.jp,Tony
61,5,"Saint Petersburg Stadium,",hmarginson1o@sourceforge.net,Kinsman
62,7,"Luzhniki Stadium,",wlean1p@usa.gov,Orin
63,8,"Saint Petersburg Stadium,",mcastagnet1q@psu.edu,Northview
